test instance:16, number of pickup points: 40, number of delivery points: 100, number of orders: 200, number of riders: 100
nodes:
[no:1, type:'pickup point', x:0.834, y:1.197]
[no:13, pickup point: 27, delivery point: 68, distance: 5.958, earliest pickup time: 0.08, latest pick time: 0.24, pickup time: 0.15, earliest delivery time: 1.98, latest delivery time: 2.19, delivery time: 0.12]
[no:14, pickup point: 8, delivery point: 134, distance: 3.229, earliest pickup time: 0.09, latest pick time: 0.22, pickup time: 0.15, earliest delivery time: 1.23, latest delivery time: 1.46, delivery time: 0.15]
[no:15, pickup point: 12, delivery point: 83, distance: 2.69, earliest pickup time: 0.09, latest pick time: 0.24, pickup time: 0.13, earliest delivery time: 1.09, latest delivery time: 1.26, delivery time: 0.16]
[no:16, pickup point: 38, delivery point: 80, distance: 7.215, earliest pickup time: 0.09, latest pick time: 0.32, pickup time: 0.11, earliest delivery time: 2.36, latest delivery time: 2.59, delivery time: 0.17]
[no:17, pickup point: 40, delivery point: 50, distance: 9.641, earliest pickup time: 0.09, latest pick time: 0.32, pickup time: 0.12, earliest delivery time: 3.01, latest delivery time: 3.18, delivery time: 0.15]
[no:18, pickup point: 18, delivery point: 41, distance: 7.356, earliest pickup time: 0.1, latest pick time: 0.22, pickup time: 0.18, earliest delivery time: 2.36, latest delivery time: 2.57, delivery time: 0.12]
[no:19, pickup point: 19, delivery point: 89, distance: 5.118, earliest pickup time: 0.1, latest pick time: 0.23, pickup time: 0.19, earliest delivery time: 1.78, latest delivery time: 1.93, delivery time: 0.12]
[no:20, pickup point: 8, delivery point: 91, distance: 5.565, earliest pickup time: 0.11, latest pick time: 0.3, pickup time: 0.13, earliest delivery time: 1.92, latest delivery time: 2.13, delivery time: 0.2]
[no:21, pickup point: 10, delivery point: 117, distance: 7.019, earliest pickup time: 0.11, latest pick time: 0.3, pickup time: 0.11, earliest delivery time: 2.28, latest delivery time: 2.53, delivery time: 0.17]
[no:22, pickup point: 5, delivery point: 83, distance: 4.972, earliest pickup time: 0.11, latest pick time: 0.31, pickup time: 0.13, earliest delivery time: 1.77, latest delivery time: 1.89, delivery time: 0.15]
[no:23, pickup point: 35, delivery point: 130, distance: 3.844, earliest pickup time: 0.11, latest pick time: 0.36, pickup time: 0.19, earliest delivery time: 1.58, latest delivery time: 1.79, delivery time: 0.1]
[no:24, pickup point: 1, delivery point: 81, distance: 4.78, earliest pickup time: 0.12, latest pick time: 0.28, pickup time: 0.16, earliest delivery time: 1.72, latest delivery time: 1.83, delivery time: 0.15]
[no:25, pickup point: 31, delivery point: 51, distance: 3.017, earliest pickup time: 0.12, latest pick time: 0.31, pickup time: 0.13, earliest delivery time: 1.24, latest delivery time: 1.36, delivery time: 0.15]
[no:26, pickup point: 1, delivery point: 43, distance: 6.214, earliest pickup time: 0.12, latest pick time: 0.34, pickup time: 0.18, earliest delivery time: 2.18, latest delivery time: 2.32, delivery time: 0.11]
[no:27, pickup point: 35, delivery point: 48, distance: 4.709, earliest pickup time: 0.13, latest pick time: 0.28, pickup time: 0.14, earliest delivery time: 1.67, latest delivery time: 1.86, delivery time: 0.12]
[no:28, pickup point: 5, delivery point: 78, distance: 0.691, earliest pickup time: 0.13, latest pick time: 0.3, pickup time: 0.17, earliest delivery time: 0.66, latest delivery time: 0.76, delivery time: 0.1]
[no:29, pickup point: 9, delivery point: 62, distance: 6.623, earliest pickup time: 0.13, latest pick time: 0.36, pickup time: 0.14, earliest delivery time: 2.26, latest delivery time: 2.46, delivery time: 0.11]
[no:30, pickup point: 33, delivery point: 98, distance: 4.899, earliest pickup time: 0.13, latest pick time: 0.37, pickup time: 0.13, earliest delivery time: 1.81, latest delivery time: 2.05, delivery time: 0.16]
[no:31, pickup point: 3, delivery point: 62, distance: 5.189, earliest pickup time: 0.13, latest pick time: 0.37, pickup time: 0.18, earliest delivery time: 1.93, latest delivery time: 2.05, delivery time: 0.12]
[no:32, pickup point: 6, delivery point: 85, distance: 5.472, earliest pickup time: 0.14, latest pick time: 0.25, pickup time: 0.12, earliest delivery time: 1.83, latest delivery time: 2.01, delivery time: 0.11]
[no:33, pickup point: 31, delivery point: 131, distance: 1.125, earliest pickup time: 0.14, latest pick time: 0.26, pickup time: 0.11, earliest delivery time: 0.68, latest delivery time: 0.91, delivery time: 0.18]
[no:34, pickup point: 17, delivery point: 72, distance: 3.771, earliest pickup time: 0.14, latest pick time: 0.3, pickup time: 0.12, earliest delivery time: 1.43, latest delivery time: 1.67, delivery time: 0.12]
[no:35, pickup point: 1, delivery point: 55, distance: 9.514, earliest pickup time: 0.15, latest pick time: 0.39, pickup time: 0.17, earliest delivery time: 3.1, latest delivery time: 3.26, delivery time: 0.19]
[no:36, pickup point: 18, delivery point: 101, distance: 8.959, earliest pickup time: 0.16, latest pick time: 0.37, pickup time: 0.19, earliest delivery time: 2.95, latest delivery time: 3.19, delivery time: 0.16]
[no:37, pickup point: 34, delivery point: 41, distance: 2.261, earliest pickup time: 0.17, latest pick time: 0.27, pickup time: 0.13, earliest delivery time: 1.01, latest delivery time: 1.15, delivery time: 0.12]
[no:38, pickup point: 24, delivery point: 122, distance: 4.921, earliest pickup time: 0.17, latest pick time: 0.3, pickup time: 0.14, earliest delivery time: 1.75, latest delivery time: 1.88, delivery time: 0.12]
[no:39, pickup point: 40, delivery point: 121, distance: 6.84, earliest pickup time: 0.18, latest pick time: 0.28, pickup time: 0.19, earliest delivery time: 2.3, latest delivery time: 2.48, delivery time: 0.15]
[no:40, pickup point: 9, delivery point: 132, distance: 8.649, earliest pickup time: 0.18, latest pick time: 0.36, pickup time: 0.14, earliest delivery time: 2.8, latest delivery time: 2.98, delivery time: 0.17]
[no:41, pickup point: 27, delivery point: 109, distance: 6.71, earliest pickup time: 0.18, latest pick time: 0.41, pickup time: 0.12, earliest delivery time: 2.32, latest delivery time: 2.46, delivery time: 0.14]
[no:42, pickup point: 17, delivery point: 97, distance: 6.545, earliest pickup time: 0.19, latest pick time: 0.3, pickup time: 0.15, earliest delivery time: 2.2, latest delivery time: 2.38, delivery time: 0.18]
[no:43, pickup point: 14, delivery point: 74, distance: 9.549, earliest pickup time: 0.19, latest pick time: 0.34, pickup time: 0.19, earliest delivery time: 3.07, latest delivery time: 3.28, delivery time: 0.18]
[no:44, pickup point: 13, delivery point: 96, distance: 9.106, earliest pickup time: 0.2, latest pick time: 0.36, pickup time: 0.13, earliest delivery time: 2.92, latest delivery time: 3.14, delivery time: 0.17]
[no:45, pickup point: 7, delivery point: 86, distance: 4.339, earliest pickup time: 0.2, latest pick time: 0.36, pickup time: 0.19, earliest delivery time: 1.71, latest delivery time: 1.9, delivery time: 0.18]
[no:46, pickup point: 27, delivery point: 55, distance: 3.142, earliest pickup time: 0.2, latest pick time: 0.42, pickup time: 0.14, earliest delivery time: 1.39, latest delivery time: 1.63, delivery time: 0.15]
[no:47, pickup point: 24, delivery point: 98, distance: 11.577, earliest pickup time: 0.2, latest pick time: 0.44, pickup time: 0.14, earliest delivery time: 3.67, latest delivery time: 3.91, delivery time: 0.14]
[no:48, pickup point: 23, delivery point: 66, distance: 7.137, earliest pickup time: 0.22, latest pick time: 0.36, pickup time: 0.19, earliest delivery time: 2.45, latest delivery time: 2.57, delivery time: 0.17]
[no:49, pickup point: 14, delivery point: 76, distance: 5.044, earliest pickup time: 0.22, latest pick time: 0.42, pickup time: 0.19, earliest delivery time: 1.95, latest delivery time: 2.17, delivery time: 0.11]
[no:50, pickup point: 30, delivery point: 74, distance: 7.752, earliest pickup time: 0.22, latest pick time: 0.47, pickup time: 0.11, earliest delivery time: 2.65, latest delivery time: 2.79, delivery time: 0.16]
[no:51, pickup point: 11, delivery point: 108, distance: 2.41, earliest pickup time: 0.23, latest pick time: 0.48, pickup time: 0.18, earliest delivery time: 1.3, latest delivery time: 1.45, delivery time: 0.12]
[no:52, pickup point: 3, delivery point: 80, distance: 1.312, earliest pickup time: 0.25, latest pick time: 0.41, pickup time: 0.19, earliest delivery time: 0.95, latest delivery time: 1.13, delivery time: 0.13]
[no:53, pickup point: 27, delivery point: 92, distance: 5.532, earliest pickup time: 0.25, latest pick time: 0.44, pickup time: 0.11, earliest delivery time: 2.03, latest delivery time: 2.22, delivery time: 0.11]
[no:54, pickup point: 34, delivery point: 70, distance: 1.507, earliest pickup time: 0.26, latest pick time: 0.46, pickup time: 0.12, earliest delivery time: 0.98, latest delivery time: 1.17, delivery time: 0.14]
[no:55, pickup point: 33, delivery point: 64, distance: 6.014, earliest pickup time: 0.27, latest pick time: 0.39, pickup time: 0.15, earliest delivery time: 2.14, latest delivery time: 2.3, delivery time: 0.16]
[no:56, pickup point: 3, delivery point: 82, distance: 6.388, earliest pickup time: 0.27, latest pick time: 0.39, pickup time: 0.11, earliest delivery time: 2.2, latest delivery time: 2.33, delivery time: 0.18]
[no:57, pickup point: 19, delivery point: 85, distance: 2.374, earliest pickup time: 0.27, latest pick time: 0.42, pickup time: 0.18, earliest delivery time: 1.23, latest delivery time: 1.37, delivery time: 0.11]
[no:58, pickup point: 30, delivery point: 56, distance: 10.496, earliest pickup time: 0.27, latest pick time: 0.49, pickup time: 0.17, earliest delivery time: 3.46, latest delivery time: 3.58, delivery time: 0.2]
[no:59, pickup point: 38, delivery point: 83, distance: 7.412, earliest pickup time: 0.27, latest pick time: 0.5, pickup time: 0.2, earliest delivery time: 2.68, latest delivery time: 2.88, delivery time: 0.19]
[no:60, pickup point: 30, delivery point: 62, distance: 5.117, earliest pickup time: 0.27, latest pick time: 0.51, pickup time: 0.19, earliest delivery time: 2.06, latest delivery time: 2.23, delivery time: 0.15]
[no:61, pickup point: 34, delivery point: 59, distance: 4.799, earliest pickup time: 0.28, latest pick time: 0.45, pickup time: 0.1, earliest delivery time: 1.84, latest delivery time: 2.08, delivery time: 0.16]
[no:62, pickup point: 15, delivery point: 106, distance: 7.198, earliest pickup time: 0.29, latest pick time: 0.39, pickup time: 0.14, earliest delivery time: 2.45, latest delivery time: 2.6, delivery time: 0.18]
[no:63, pickup point: 26, delivery point: 63, distance: 6.262, earliest pickup time: 0.29, latest pick time: 0.46, pickup time: 0.13, earliest delivery time: 2.26, latest delivery time: 2.46, delivery time: 0.13]
[no:64, pickup point: 38, delivery point: 68, distance: 7.831, earliest pickup time: 0.29, latest pick time: 0.46, pickup time: 0.19, earliest delivery time: 2.74, latest delivery time: 2.87, delivery time: 0.19]
[no:65, pickup point: 12, delivery point: 53, distance: 5.165, earliest pickup time: 0.29, latest pick time: 0.5, pickup time: 0.19, earliest delivery time: 2.06, latest delivery time: 2.18, delivery time: 0.12]
[no:66, pickup point: 37, delivery point: 78, distance: 3.381, earliest pickup time: 0.3, latest pick time: 0.42, pickup time: 0.13, earliest delivery time: 1.45, latest delivery time: 1.67, delivery time: 0.11]
[no:67, pickup point: 12, delivery point: 136, distance: 7.62, earliest pickup time: 0.31, latest pick time: 0.42, pickup time: 0.12, earliest delivery time: 2.57, latest delivery time: 2.71, delivery time: 0.19]
[no:68, pickup point: 31, delivery point: 125, distance: 2.697, earliest pickup time: 0.31, latest pick time: 0.46, pickup time: 0.2, earliest delivery time: 1.37, latest delivery time: 1.52, delivery time: 0.13]
[no:69, pickup point: 6, delivery point: 104, distance: 4.989, earliest pickup time: 0.31, latest pick time: 0.49, pickup time: 0.13, earliest delivery time: 1.95, latest delivery time: 2.13, delivery time: 0.13]
[no:70, pickup point: 18, delivery point: 92, distance: 9.904, earliest pickup time: 0.31, latest pick time: 0.53, pickup time: 0.11, earliest delivery time: 3.28, latest delivery time: 3.41, delivery time: 0.16]
[no:71, pickup point: 39, delivery point: 59, distance: 3.882, earliest pickup time: 0.32, latest pick time: 0.52, pickup time: 0.14, earliest delivery time: 1.7, latest delivery time: 1.85, delivery time: 0.12]
[no:72, pickup point: 5, delivery point: 48, distance: 2.377, earliest pickup time: 0.32, latest pick time: 0.54, pickup time: 0.15, earliest delivery time: 1.32, latest delivery time: 1.55, delivery time: 0.14]
[no:73, pickup point: 25, delivery point: 136, distance: 1.01, earliest pickup time: 0.32, latest pick time: 0.56, pickup time: 0.12, earliest delivery time: 0.95, latest delivery time: 1.15, delivery time: 0.15]
[no:74, pickup point: 18, delivery point: 134, distance: 7.876, earliest pickup time: 0.33, latest pick time: 0.45, pickup time: 0.12, earliest delivery time: 2.67, latest delivery time: 2.83, delivery time: 0.18]
[no:75, pickup point: 38, delivery point: 45, distance: 9.822, earliest pickup time: 0.34, latest pick time: 0.54, pickup time: 0.18, earliest delivery time: 3.34, latest delivery time: 3.49, delivery time: 0.16]
[no:76, pickup point: 24, delivery point: 125, distance: 6.948, earliest pickup time: 0.34, latest pick time: 0.59, pickup time: 0.2, earliest delivery time: 2.64, latest delivery time: 2.8, delivery time: 0.16]
[no:77, pickup point: 15, delivery point: 65, distance: 10.733, earliest pickup time: 0.35, latest pick time: 0.53, pickup time: 0.15, earliest delivery time: 3.54, latest delivery time: 3.66, delivery time: 0.11]
[no:78, pickup point: 13, delivery point: 112, distance: 6.628, earliest pickup time: 0.35, latest pick time: 0.54, pickup time: 0.17, earliest delivery time: 2.48, latest delivery time: 2.67, delivery time: 0.14]
[no:79, pickup point: 3, delivery point: 120, distance: 6.029, earliest pickup time: 0.36, latest pick time: 0.51, pickup time: 0.18, earliest delivery time: 2.3, latest delivery time: 2.52, delivery time: 0.14]
[no:80, pickup point: 33, delivery point: 99, distance: 6.131, earliest pickup time: 0.37, latest pick time: 0.48, pickup time: 0.19, earliest delivery time: 2.31, latest delivery time: 2.5, delivery time: 0.19]
[no:81, pickup point: 27, delivery point: 55, distance: 3.142, earliest pickup time: 0.37, latest pick time: 0.6, pickup time: 0.18, earliest delivery time: 1.62, latest delivery time: 1.77, delivery time: 0.14]
[no:82, pickup point: 13, delivery point: 47, distance: 9.319, earliest pickup time: 0.37, latest pick time: 0.6, pickup time: 0.11, earliest delivery time: 3.19, latest delivery time: 3.34, delivery time: 0.18]
[no:83, pickup point: 2, delivery point: 49, distance: 4.938, earliest pickup time: 0.38, latest pick time: 0.51, pickup time: 0.14, earliest delivery time: 1.97, latest delivery time: 2.17, delivery time: 0.17]
[no:84, pickup point: 26, delivery point: 55, distance: 1.746, earliest pickup time: 0.38, latest pick time: 0.53, pickup time: 0.18, earliest delivery time: 1.17, latest delivery time: 1.29, delivery time: 0.11]
[no:85, pickup point: 9, delivery point: 87, distance: 7.55, earliest pickup time: 0.39, latest pick time: 0.58, pickup time: 0.13, earliest delivery time: 2.72, latest delivery time: 2.95, delivery time: 0.17]
[no:86, pickup point: 20, delivery point: 128, distance: 1.343, earliest pickup time: 0.4, latest pick time: 0.57, pickup time: 0.13, earliest delivery time: 1.06, latest delivery time: 1.26, delivery time: 0.19]
[no:87, pickup point: 14, delivery point: 93, distance: 7.268, earliest pickup time: 0.42, latest pick time: 0.55, pickup time: 0.16, earliest delivery time: 2.65, latest delivery time: 2.84, delivery time: 0.15]
[no:88, pickup point: 19, delivery point: 52, distance: 9.48, earliest pickup time: 0.42, latest pick time: 0.61, pickup time: 0.12, earliest delivery time: 3.26, latest delivery time: 3.41, delivery time: 0.19]
[no:89, pickup point: 9, delivery point: 63, distance: 5.646, earliest pickup time: 0.43, latest pick time: 0.55, pickup time: 0.13, earliest delivery time: 2.18, latest delivery time: 2.4, delivery time: 0.13]
[no:90, pickup point: 30, delivery point: 115, distance: 6.602, earliest pickup time: 0.43, latest pick time: 0.55, pickup time: 0.19, earliest delivery time: 2.51, latest delivery time: 2.68, delivery time: 0.16]
[no:91, pickup point: 38, delivery point: 72, distance: 1.76, earliest pickup time: 0.43, latest pick time: 0.61, pickup time: 0.12, earliest delivery time: 1.21, latest delivery time: 1.39, delivery time: 0.12]
[no:92, pickup point: 26, delivery point: 58, distance: 5.827, earliest pickup time: 0.43, latest pick time: 0.65, pickup time: 0.16, earliest delivery time: 2.37, latest delivery time: 2.52, delivery time: 0.18]
[no:93, pickup point: 10, delivery point: 116, distance: 8.227, earliest pickup time: 0.47, latest pick time: 0.58, pickup time: 0.17, earliest delivery time: 2.95, latest delivery time: 3.18, delivery time: 0.13]
[no:94, pickup point: 14, delivery point: 113, distance: 1.325, earliest pickup time: 0.47, latest pick time: 0.59, pickup time: 0.16, earliest delivery time: 1.1, latest delivery time: 1.2, delivery time: 0.17]
[no:95, pickup point: 22, delivery point: 51, distance: 3.923, earliest pickup time: 0.47, latest pick time: 0.62, pickup time: 0.17, earliest delivery time: 1.83, latest delivery time: 1.97, delivery time: 0.17]
[no:96, pickup point: 24, delivery point: 114, distance: 11.191, earliest pickup time: 0.47, latest pick time: 0.62, pickup time: 0.12, earliest delivery time: 3.72, latest delivery time: 3.95, delivery time: 0.2]
[no:97, pickup point: 3, delivery point: 50, distance: 12.519, earliest pickup time: 0.47, latest pick time: 0.66, pickup time: 0.15, earliest delivery time: 4.15, latest delivery time: 4.3, delivery time: 0.13]
[no:98, pickup point: 37, delivery point: 127, distance: 2.448, earliest pickup time: 0.48, latest pick time: 0.63, pickup time: 0.15, earliest delivery time: 1.44, latest delivery time: 1.62, delivery time: 0.19]
[no:99, pickup point: 36, delivery point: 99, distance: 7.397, earliest pickup time: 0.48, latest pick time: 0.65, pickup time: 0.17, earliest delivery time: 2.79, latest delivery time: 2.92, delivery time: 0.14]
[no:100, pickup point: 26, delivery point: 126, distance: 0.749, earliest pickup time: 0.49, latest pick time: 0.59, pickup time: 0.14, earliest delivery time: 0.93, latest delivery time: 1.12, delivery time: 0.12]
[no:101, pickup point: 5, delivery point: 74, distance: 8.263, earliest pickup time: 0.49, latest pick time: 0.61, pickup time: 0.19, earliest delivery time: 3.0, latest delivery time: 3.24, delivery time: 0.19]
[no:102, pickup point: 2, delivery point: 95, distance: 6.579, earliest pickup time: 0.49, latest pick time: 0.63, pickup time: 0.14, earliest delivery time: 2.53, latest delivery time: 2.74, delivery time: 0.14]
[no:103, pickup point: 22, delivery point: 67, distance: 2.115, earliest pickup time: 0.51, latest pick time: 0.72, pickup time: 0.13, earliest delivery time: 1.41, latest delivery time: 1.57, delivery time: 0.16]
